race_id,date,season_year,name,circuit_circuit_id
1,2021-03-28,2021,"Bahrain Grand Prix",1
2,2021-04-18,2021,"Emilia Romagna Grand Prix",2
3,2021-05-02,2021,"Portugese Grand Prix",3
4,2021-05-09,2021,"Spanish Grand Prix",4
5,2021-05-23,2021,"Monaco Grand Prix",5
6,2021-06-06,2021,"Azerbaijan Grand Prix",6
7,2021-06-20,2021,"French Grand Prix",7
8,2021-06-27,2021,"Styrian Grand Prix",8
9,2021-07-04,2021,"Austrian Grand Prix",8
10,2021-07-18,2021,"British Grand Prix",9
11,2021-08-01,2021,"Hungarian Grand Prix",10
12,2021-08-29,2021,"Belgian Grand Prix",11
13,2021-09-05,2021,"Dutch Grand Prix",12
14,2021-09-12,2021,"Italian Grand Prix",13
15,2021-09-26,2021,"Russian Grand Prix",14
16,2021-10-10,2021,"Turkish Grand Prix",15
17,2021-10-24,2021,"United States Grand Prix",16
18,2021-11-07,2021,"Mexico City Grand Prix",17
19,2021-11-14,2021,"Sao Paulo Grand Prix",18
20,2021-11-21,2021,"Qatar Grand Prix",19
21,2021-12-05,2021,"Saudi Arabian Grand Prix",20
22,2021-12-12,2021,"Abu Dhabi Grand Prix",21
